drug	category
factor xiii (human)	Amino Acids, Peptides, and Proteins
factor xiii (human)	Aminoacyltransferases
factor xiii (human)	Biological Factors
factor xiii (human)	Blood Coagulation Factors
factor xiii (human)	Blood Proteins
factor xiii (human)	Enzymes
factor xiii (human)	Enzymes and Coenzymes
factor xiii (human)	Hemostatics
factor xiii (human)	Proteins
factor xiii (human)	Transferases
factor xiii (human)	Transglutaminases
tasonermin	Adjuvants, Immunologic
tasonermin	Antineoplastic and Immunomodulating Agents
nicoboxil	Acids, Heterocyclic
nicoboxil	Heterocyclic Compounds
nicoboxil	Heterocyclic Compounds, 1-Ring
nicoboxil	Pyridines
mercaptopurine	Antimetabolites
mercaptopurine	Antimetabolites, Antineoplastic
mercaptopurine	Antineoplastic Agents
mercaptopurine	Antineoplastic and Immunomodulating Agents
mercaptopurine	Enzyme Inhibitors
mercaptopurine	Heterocyclic Compounds
mercaptopurine	Heterocyclic Compounds, 2-Ring
mercaptopurine	Immunologic Factors
mercaptopurine	Immunosuppressive Agents
mercaptopurine	Myelosuppressive Agents
mercaptopurine	Noxae
mercaptopurine	Nucleic Acid Synthesis Inhibitors
mercaptopurine	Nucleoside Metabolic Inhibitor
mercaptopurine	Purine Analogues
mercaptopurine	Purines
mercaptopurine	Sulfhydryl Compounds
mercaptopurine	Sulfur Compounds
mercaptopurine	Thiopurine Analogs
mercaptopurine	Toxic Actions
technetium tc-99m arcitumomab	Amino Acids, Peptides, and Proteins
technetium tc-99m arcitumomab	Antibodies
technetium tc-99m arcitumomab	Blood Proteins
technetium tc-99m arcitumomab	Diagnostic Radiopharmaceuticals
technetium tc-99m arcitumomab	Globulins
technetium tc-99m arcitumomab	Immunoglobulins
technetium tc-99m arcitumomab	Immunoproteins
technetium tc-99m arcitumomab	Organometallic Compounds
technetium tc-99m arcitumomab	Proteins
technetium tc-99m arcitumomab	Serum Globulins
technetium tc-99m arcitumomab	Technetium (99Mtc) Compounds
technetium tc-99m arcitumomab	Tumour Detection
griseofulvin	Anti-Infective Agents
griseofulvin	Antifungal Agents
griseofulvin	Antifungals for Dermatological Use
griseofulvin	Antifungals for Systemic Use
griseofulvin	Antifungals for Topical Use
griseofulvin	Benzofurans
griseofulvin	Cytochrome P-450 Enzyme Inducers
griseofulvin	Dermatologicals
griseofulvin	Heterocyclic Compounds
griseofulvin	Heterocyclic Compounds, 2-Ring
griseofulvin	Lactones
griseofulvin	Macrocyclic Compounds
griseofulvin	Polycyclic Compounds
griseofulvin	Polyketides
griseofulvin	Tubulin Inhibiting Agent
cefalotin	Amides
cefalotin	Anti-Bacterial Agents
cefalotin	Anti-Infective Agents
cefalotin	Antibacterials for Systemic Use
cefalotin	Antiinfectives for Systemic Use
cefalotin	Aza Compounds
cefalotin	Azabicyclo Compounds
cefalotin	beta-Lactams
cefalotin	Bicyclo Compounds
cefalotin	Bicyclo Compounds, Heterocyclic
cefalotin	Bridged Compounds
cefalotin	Cephacetrile
cefalotin	Cephalosporins
cefalotin	First-Generation Cephalosporins
cefalotin	Heterocyclic Compounds
cefalotin	Heterocyclic Compounds, 1-Ring
cefalotin	Heterocyclic Compounds, 2-Ring
cefalotin	Heterocyclic Compounds, Bridged-Ring
cefalotin	Hydrocarbons
cefalotin	Hydrocarbons, Cyclic
cefalotin	Lactams
cefalotin	Polycyclic Compounds
cefalotin	Sulfur Compounds
cefalotin	Thiazines
floctafenine	Acids, Carbocyclic
floctafenine	Aminobenzoates
floctafenine	Analgesics
floctafenine	Analgesics, Non-Narcotic
floctafenine	Anti-Inflammatory Agents
floctafenine	Anti-Inflammatory Agents, Non-Steroidal
floctafenine	Antirheumatic Agents
floctafenine	Benzene Derivatives
floctafenine	Benzoates
floctafenine	Carboxylic Acids
floctafenine	Central Nervous System Agents
floctafenine	Hydrocarbons
floctafenine	Hydrocarbons, Aromatic
floctafenine	Hydrocarbons, Cyclic
floctafenine	Miscellaneous Analgesics and Antipyretics
floctafenine	Nervous System
floctafenine	Peripheral Nervous System Agents
floctafenine	Sensory System Agents
erenumab	Amino Acids, Peptides, and Proteins
erenumab	Antibodies
erenumab	Blood Proteins
erenumab	Globulins
erenumab	Immunoglobulins
erenumab	Immunoproteins
erenumab	Proteins
erenumab	Serum Globulins
gatifloxacin	Anti-Bacterial Agents
gatifloxacin	Anti-Infective Agents
gatifloxacin	Antibacterials for Systemic Use
gatifloxacin	Antiinfectives for Systemic Use
gatifloxacin	Enzyme Inhibitors
gatifloxacin	Fluoroquinolones
gatifloxacin	Heterocyclic Compounds
gatifloxacin	Heterocyclic Compounds, 2-Ring
gatifloxacin	Ophthalmologicals
gatifloxacin	QTc Prolonging Agents
gatifloxacin	Quinolines
gatifloxacin	Quinolone Antimicrobial
gatifloxacin	Quinolones
gatifloxacin	Sensory Organs
gatifloxacin	Topoisomerase II Inhibitors
gatifloxacin	Topoisomerase Inhibitors
ceiba pentandra fiber	Non-Standardized Plant Fiber Allergenic Extract
succinylcholine	Acids, Acyclic
succinylcholine	Alcohols
succinylcholine	Amines
succinylcholine	Amino Alcohols
succinylcholine	Ammonium Compounds
succinylcholine	Carboxylic Acids
succinylcholine	Central Nervous System Depressants
succinylcholine	Choline
succinylcholine	Choline Derivatives
succinylcholine	Depolarizing Neuromuscular Blocker
succinylcholine	Dicarboxylic Acids
succinylcholine	Ethanolamines
succinylcholine	Muscle Relaxants
succinylcholine	Muscle Relaxants, Peripherally Acting Agents
succinylcholine	Musculo-Skeletal System
succinylcholine	Neuromuscular Agents
succinylcholine	Neuromuscular Blocking Agents
succinylcholine	Neuromuscular Depolarizing Agents
succinylcholine	Nitrogen Compounds
succinylcholine	Onium Compounds
succinylcholine	Peripheral Nervous System Agents
succinylcholine	Quaternary Ammonium Compounds
succinylcholine	Succinates
succinylcholine	Trimethyl Ammonium Compounds
latanoprost	Antiglaucoma Preparations and Miotics
latanoprost	Antihypertensive Agents
latanoprost	Autacoids
latanoprost	Biological Factors
latanoprost	Cardiovascular Agents
latanoprost	Eicosanoids
latanoprost	Fatty Acids
latanoprost	Fatty Acids, Unsaturated
latanoprost	Inflammation Mediators
latanoprost	Intraocular Pressure, drug effects
latanoprost	Lipids
latanoprost	Neuroprotective Agents
latanoprost	Ophthalmologicals
latanoprost	Prostaglandins
latanoprost	Prostaglandins, Synthetic
latanoprost	Sensory Organs
lycopene	Alkenes
lycopene	Anticarcinogenic Agents
lycopene	Antineoplastic Agents
lycopene	Antioxidants
lycopene	Biological Factors
lycopene	Cyclohexanes
lycopene	Cyclohexenes
lycopene	Cycloparaffins
lycopene	Hydrocarbons
lycopene	Hydrocarbons, Acyclic
lycopene	Hydrocarbons, Alicyclic
lycopene	Hydrocarbons, Cyclic
lycopene	Macrocyclic Compounds
lycopene	Pigments, Biological
lycopene	Polycyclic Compounds
lycopene	Polyenes
lycopene	Protective Agents
lycopene	Radiation-Protective Agents
lycopene	Specialty Uses of Chemicals
lycopene	Terpenes
netilmicin	Aminoglycoside Antibacterials
netilmicin	Anti-Bacterial Agents
netilmicin	Anti-Infective Agents
netilmicin	Antibacterials for Systemic Use
netilmicin	Antiinfectives for Systemic Use
netilmicin	Carbohydrates
netilmicin	Enzyme Inhibitors
netilmicin	Gentamicins
netilmicin	Glycosides
netilmicin	Ophthalmologicals
netilmicin	Protein Synthesis Inhibitors
netilmicin	Sensory Organs
netilmicin	Sisomicin
bromotheophylline	Alcohols
bromotheophylline	Alkaloids
bromotheophylline	Amines
bromotheophylline	Amino Alcohols
bromotheophylline	Diuretics
bromotheophylline	Drugs for Obstructive Airway Diseases
bromotheophylline	Heterocyclic Compounds
bromotheophylline	Heterocyclic Compounds, 2-Ring
bromotheophylline	Pharmaceutical Preparations
bromotheophylline	Propanols
bromotheophylline	Purines
bromotheophylline	Purinones
bromotheophylline	Respiratory System
bromotheophylline	Xanthine derivatives
calcitriol	Alimentary Tract and Metabolism
calcitriol	Antipsoriatics
calcitriol	Antipsoriatics for Topical Use
calcitriol	Bone Density Conservation Agents
calcitriol	Calcium Channel Agonists
calcitriol	Cardiovascular Agents
calcitriol	Cholecalciferol
calcitriol	Cholestanes
calcitriol	Cholestenes
calcitriol	Cytochrome P-450 Enzyme Inducers
calcitriol	Dermatologicals
calcitriol	Diet, Food, and Nutrition
calcitriol	Dihydroxycholecalciferols
calcitriol	Food
calcitriol	Food and Beverages
calcitriol	Growth Substances
calcitriol	Hydroxycholecalciferols
calcitriol	Lipids
calcitriol	Membrane Lipids
calcitriol	Membrane Transport Modulators
calcitriol	Micronutrients
calcitriol	Misc. Skin and Mucous Membrane Agents
calcitriol	Physiological Phenomena
calcitriol	Polycyclic Compounds
calcitriol	Secosteroids
calcitriol	Steroids
calcitriol	Sterols
calcitriol	Vitamin D and Analogues
calcitriol	Vitamin D3 Analog
calcitriol	Vitamins
calcitriol	Vitamins (Fat Soluble)
potassium alum	Acids
potassium alum	Acids, Noncarboxylic
potassium alum	Aluminium Compounds
potassium alum	Anions
potassium alum	Electrolytes
potassium alum	Elements
potassium alum	Ions
potassium alum	Metals
potassium alum	Metals, Alkali
potassium alum	Metals, Light
potassium alum	Sulfates
potassium alum	Sulfur Acids
potassium alum	Sulfur Compounds
potassium alum	Sulfuric Acids
amifampridine	Nervous System
amifampridine	QTc Prolonging Agents
penicillium italicum	Non-Standardized Fungal Allergenic Extract
sodium ferric gluconate complex	Iron Preparations
sodium ferric gluconate complex	Parenteral Iron Replacement
sodium ferric gluconate complex	Phosphate Binder
xanthium strumarium var. canadense pollen	Non-Standardized Pollen Allergenic Extract
passalora fulva	Non-Standardized Fungal Allergenic Extract
vaborbactam	Acids
vaborbactam	Acids, Noncarboxylic
vaborbactam	Boron Compounds
vaborbactam	Heterocyclic Compounds
aureobasidium pullulans var. pullutans	Non-Standardized Fungal Allergenic Extract
sulfacytine	Amides
sulfacytine	Amines
sulfacytine	Aniline Compounds
sulfacytine	Genito Urinary System and Sex Hormones
sulfacytine	Gynecological Antiinfectives and Antiseptics
sulfacytine	Sulfonamides
sulfacytine	Sulfones
sulfacytine	Sulfur Compounds
copper gluconate	Acids, Acyclic
copper gluconate	Carbohydrates
copper gluconate	Carboxylic Acids
copper gluconate	Hydroxy Acids
copper gluconate	Sugar Acids
rasburicase	Antigout Preparations
rasburicase	Detoxifying Agents for Antineoplastic Treatment
rasburicase	Enzymes
rasburicase	Enzymes and Coenzymes
rasburicase	Gout Suppressants
rasburicase	Musculo-Skeletal System
rasburicase	Oxidoreductases
rasburicase	Recombinant Proteins
chlorprothixene	Anticholinergic Agents
chlorprothixene	Antipsychotic Agents
chlorprothixene	Antipsychotic Agents (First Generation [Typical])
chlorprothixene	Central Nervous System Agents
chlorprothixene	Central Nervous System Depressants
chlorprothixene	Dopamine Agents
chlorprothixene	Dopamine Antagonists
chlorprothixene	Dopamine D2 Receptor Antagonists
chlorprothixene	Heterocyclic Compounds
chlorprothixene	Heterocyclic Compounds, 3-Ring
chlorprothixene	Histamine Antagonists
chlorprothixene	Histamine H1 Antagonists
chlorprothixene	Muscarinic Antagonists
chlorprothixene	Nervous System
chlorprothixene	Neurotransmitter Agents
chlorprothixene	P-glycoprotein/ABCB1 Inhibitors
chlorprothixene	Psycholeptics
chlorprothixene	Psychotropic Drugs
chlorprothixene	Serotonin 5-HT2 Receptor Antagonists
chlorprothixene	Serotonin Receptor Antagonists
chlorprothixene	Sulfur Compounds
chlorprothixene	Thioxanthene Derivatives
chlorprothixene	Thioxanthenes
chlorprothixene	Tranquilizing Agents
chlorprothixene	Xanthenes
susoctocog alfa	Blood and Blood Forming Organs
susoctocog alfa	Blood Coagulation Factors
susoctocog alfa	Hemostatics
anti-inhibitor coagulant complex	Blood and Blood Forming Organs
anti-inhibitor coagulant complex	Blood Coagulation Factors
anti-inhibitor coagulant complex	Hemostatics
remikiren	Agents Acting on the Renin-Angiotensin System
remikiren	Antihypertensive Agents
remikiren	Azoles
remikiren	Cardiovascular Agents
remikiren	Cardiovascular System
remikiren	Enzyme Inhibitors
remikiren	Heterocyclic Compounds
remikiren	Heterocyclic Compounds, 1-Ring
remikiren	Protease Inhibitors
remikiren	Renin-Inhibitors
letrozole	Antineoplastic Agents
letrozole	Antineoplastic and Immunomodulating Agents
letrozole	Aromatase Inhibitors
letrozole	Azoles
letrozole	Cytochrome P-450 CYP2A6 Inhibitors
letrozole	Cytochrome P-450 CYP2A6 Inhibitors (strong)
letrozole	Cytochrome P-450 Enzyme Inhibitors
letrozole	Endocrine Therapy
letrozole	Enzyme Inhibitors
letrozole	Estrogen Antagonists
letrozole	Heterocyclic Compounds
letrozole	Heterocyclic Compounds, 1-Ring
letrozole	Hormone Antagonists
letrozole	Hormone Antagonists and Related Agents
letrozole	Hormones, Hormone Substitutes, and Hormone Antagonists
letrozole	Steroid Synthesis Inhibitors
lipegfilgrastim	Adjuvants, Immunologic
lipegfilgrastim	Amino Acids, Peptides, and Proteins
lipegfilgrastim	Antineoplastic and Immunomodulating Agents
lipegfilgrastim	Biological Factors
lipegfilgrastim	Carbohydrates
lipegfilgrastim	Colony-Stimulating Factors
lipegfilgrastim	Cytokines
lipegfilgrastim	Glycoconjugates
lipegfilgrastim	Glycoproteins
lipegfilgrastim	Hematopoietic Cell Growth Factors
lipegfilgrastim	Intercellular Signaling Peptides and Proteins
lipegfilgrastim	Peptides
lipegfilgrastim	Proteins
alipogene tiparvovec	Cardiovascular System
alipogene tiparvovec	Lipid Modifying Agents
alipogene tiparvovec	Lipid Modifying Agents, Plain
tobacco leaf	Non-Standardized Plant Allergenic Extract
epinephrine	Adrenergic Agents
epinephrine	Adrenergic Agonists
epinephrine	Adrenergic alpha-1 Receptor Agonists
epinephrine	Adrenergic alpha-2 Receptor Agonists
epinephrine	Adrenergic alpha-Agonists
epinephrine	Adrenergic and Dopaminergic Agents
epinephrine	Adrenergic beta-1 Receptor Agonists
epinephrine	Adrenergic beta-2 Receptor Agonists
epinephrine	Adrenergic beta-3 Receptor Agonists
epinephrine	Adrenergic beta-Agonists
epinephrine	Adrenergics, Inhalants
epinephrine	Alcohols
epinephrine	Alimentary Tract and Metabolism
epinephrine	Alpha-and Beta-adrenergic Agonists
epinephrine	Amines
epinephrine	Amino Alcohols
epinephrine	Anti-Asthmatic Agents
epinephrine	Antiglaucoma Preparations and Miotics
epinephrine	Autonomic Agents
epinephrine	Biogenic Amines
epinephrine	Biogenic Monoamines
epinephrine	Blood and Blood Forming Organs
epinephrine	Bronchodilator Agents
epinephrine	Cardiac Stimulants Excl. Cardiac Glycosides
epinephrine	Cardiac Therapy
epinephrine	Cardiovascular Agents
epinephrine	Cardiovascular System
epinephrine	Catecholamines
epinephrine	COMT Substrates
epinephrine	Cytochrome P-450 Enzyme Inhibitors
epinephrine	Dental Agents
epinephrine	Drugs for Obstructive Airway Diseases
epinephrine	Ethanolamines
epinephrine	Hemostatics
epinephrine	Hyperglycemia-Associated Agents
epinephrine	Local Hemostatics
epinephrine	Mydriatics
epinephrine	Nasal Preparations
epinephrine	Neurotransmitter Agents
epinephrine	OCT2 Substrates
epinephrine	Ophthalmologicals
epinephrine	Peripheral Nervous System Agents
epinephrine	Respiratory System
epinephrine	Respiratory System Agents
epinephrine	Sensory Organs
epinephrine	Stomatological Preparations
epinephrine	Sympathomimetic (Adrenergic) Agents
epinephrine	Sympathomimetics
epinephrine	Sympathomimetics in Glaucoma Therapy
epinephrine	Sympathomimetics, Plain
epinephrine	Vasoconstrictor Agents
isometheptene	Adrenergic Agonists
isometheptene	Adrenergic alpha-1 Receptor Agonists
isometheptene	Adrenergic alpha-Agonists
isometheptene	Alimentary Tract and Metabolism
isometheptene	Amines
isometheptene	Drugs for Functional Gastrointestinal Disorders
isometheptene	Methemoglobinemia Associated Agents
gamma hydroxybutyric acid	Acids, Acyclic
gamma hydroxybutyric acid	Adjuvants, Anesthesia
gamma hydroxybutyric acid	Anesthetics
gamma hydroxybutyric acid	Anesthetics, General
gamma hydroxybutyric acid	Anesthetics, Intravenous
gamma hydroxybutyric acid	Butyrates
gamma hydroxybutyric acid	Carboxylic Acids
gamma hydroxybutyric acid	Central Nervous System Agents
gamma hydroxybutyric acid	Central Nervous System Depressants
gamma hydroxybutyric acid	Fatty Acids
gamma hydroxybutyric acid	Fatty Acids, Volatile
gamma hydroxybutyric acid	Hydroxy Acids
gamma hydroxybutyric acid	Hydroxybutyrates
gamma hydroxybutyric acid	Lipids
cladosporium sphaerospermum	Non-Standardized Fungal Allergenic Extract
pargyline	Amines
pargyline	Antidepressive Agents
pargyline	Antihypertensive Agents
pargyline	Benzene Derivatives
pargyline	Benzyl Compounds
pargyline	Benzylamines
pargyline	Cardiovascular Agents
pargyline	Cardiovascular System
pargyline	Central Nervous System Depressants
pargyline	Enzyme Inhibitors
pargyline	Hydrocarbons
pargyline	Hydrocarbons, Aromatic
pargyline	Hydrocarbons, Cyclic
pargyline	MAO Inhibitors and Diuretics
pargyline	Monoamine Oxidase Inhibitors
ergocalciferol	Alimentary Tract and Metabolism
ergocalciferol	Bone Density Conservation Agents
ergocalciferol	Cholestanes
ergocalciferol	Cholestenes
ergocalciferol	Diet, Food, and Nutrition
ergocalciferol	Food
ergocalciferol	Food and Beverages
ergocalciferol	Growth Substances
ergocalciferol	Lipids
ergocalciferol	Membrane Lipids
ergocalciferol	Micronutrients
ergocalciferol	Physiological Phenomena
ergocalciferol	Polycyclic Compounds
ergocalciferol	Provitamin D2 Compound
ergocalciferol	Secosteroids
ergocalciferol	Steroids
ergocalciferol	Sterols
ergocalciferol	Vitamin D and Analogues
ergocalciferol	Vitamins
noxytiolin	Anti-Infective Agents
noxytiolin	Anti-Infective Agents, Local
noxytiolin	Blood and Blood Forming Organs
noxytiolin	Blood Substitutes and Perfusion Solutions
noxytiolin	Irrigating Solutions
noxytiolin	Sulfur Compounds
noxytiolin	Thiourea
noxytiolin	Urea
dyclonine	Anesthetics
dyclonine	Anesthetics, Local
dyclonine	Central Nervous System Agents
dyclonine	Central Nervous System Depressants
dyclonine	Ketones
dyclonine	Nervous System
dyclonine	Peripheral Nervous System Agents
dyclonine	Respiratory System
dyclonine	Sensory System Agents
dyclonine	Throat Preparations
bevantolol	Adrenergic Agents
bevantolol	Adrenergic alpha-1 Receptor Antagonists
bevantolol	Adrenergic alpha-Antagonists
bevantolol	Adrenergic Antagonists
bevantolol	Adrenergic beta-1 Receptor Antagonists
bevantolol	Adrenergic beta-Antagonists
bevantolol	Alcohols
bevantolol	Amines
bevantolol	Amino Alcohols
bevantolol	Antihypertensive Agents
bevantolol	Beta Blocking Agents and Thiazides
bevantolol	Beta Blocking Agents, Selective
bevantolol	Beta Blocking Agents, Selective, and Thiazides
bevantolol	Cardiovascular System
bevantolol	Neurotransmitter Agents
bevantolol	Propanols
nebivolol	Adrenergic Agents
nebivolol	Adrenergic Agonists
nebivolol	Adrenergic Antagonists
nebivolol	Adrenergic beta-1 Receptor Agonists
nebivolol	Adrenergic beta-Agonists
nebivolol	Adrenergic beta-Antagonists
nebivolol	Alcohols
nebivolol	Amines
nebivolol	Amino Alcohols
nebivolol	Antiarrhythmic agents
nebivolol	Antihypertensive Agents
nebivolol	Benzopyrans
nebivolol	Beta Blocking Agents and Thiazides
nebivolol	Beta Blocking Agents, Selective
nebivolol	Beta Blocking Agents, Selective, and Thiazides
nebivolol	Beta-Blockers (Beta1 Selective)
nebivolol	Bradycardia-Causing Agents
nebivolol	Cardiovascular Agents
nebivolol	Cardiovascular System
nebivolol	Ethanolamines
nebivolol	Heterocyclic Compounds
nebivolol	Heterocyclic Compounds, 1-Ring
nebivolol	Heterocyclic Compounds, 2-Ring
nebivolol	Hypotensive Agents
nebivolol	Neurotransmitter Agents
nebivolol	Pyrans
nebivolol	Vasodilating Agents
udenafil	Amides
udenafil	Drugs Used in Erectile Dysfunction
udenafil	Enzyme Inhibitors
udenafil	Genito Urinary System and Sex Hormones
udenafil	Heterocyclic Compounds
udenafil	Heterocyclic Compounds, 1-Ring
udenafil	Phosphodiesterase 5 Inhibitors
udenafil	Phosphodiesterase Inhibitors
udenafil	Sulfones
udenafil	Sulfur Compounds
udenafil	Urologicals
udenafil	Vasodilating Agents
lima bean	Non-Standardized Food Allergenic Extract
carbenicillin indanyl	Amides
carbenicillin indanyl	Anti-Bacterial Agents
carbenicillin indanyl	Anti-Infective Agents
carbenicillin indanyl	Antibacterials for Systemic Use
carbenicillin indanyl	Antiinfectives for Systemic Use
carbenicillin indanyl	Aza Compounds
carbenicillin indanyl	Azabicyclo Compounds
carbenicillin indanyl	Beta-Lactam Antibacterials, Penicillins
carbenicillin indanyl	beta-Lactams
carbenicillin indanyl	Bicyclo Compounds
carbenicillin indanyl	Bicyclo Compounds, Heterocyclic
carbenicillin indanyl	Bridged Compounds
carbenicillin indanyl	Heterocyclic Compounds
carbenicillin indanyl	Heterocyclic Compounds, 1-Ring
carbenicillin indanyl	Heterocyclic Compounds, 2-Ring
carbenicillin indanyl	Heterocyclic Compounds, Bridged-Ring
carbenicillin indanyl	Hydrocarbons
carbenicillin indanyl	Hydrocarbons, Cyclic
carbenicillin indanyl	Lactams
carbenicillin indanyl	Penicillin G
carbenicillin indanyl	Penicillins
carbenicillin indanyl	Penicillins With Extended Spectrum
carbenicillin indanyl	Polycyclic Compounds
carbenicillin indanyl	Sulfur Compounds
n-acetyltyrosine	Amino Acids
n-acetyltyrosine	Amino Acids, Aromatic
n-acetyltyrosine	Amino Acids, Cyclic
n-acetyltyrosine	Amino Acids, Peptides, and Proteins
fig	Non-Standardized Food Allergenic Extract
fig	Non-Standardized Plant Allergenic Extract
cyclacillin	Amides
cyclacillin	Anti-Bacterial Agents
cyclacillin	Anti-Infective Agents
cyclacillin	Antibacterials for Systemic Use
cyclacillin	Antiinfectives for Systemic Use
cyclacillin	Aza Compounds
cyclacillin	Azabicyclo Compounds
cyclacillin	Beta-Lactam Antibacterials, Penicillins
cyclacillin	beta-Lactams
cyclacillin	Bicyclo Compounds
cyclacillin	Bicyclo Compounds, Heterocyclic
cyclacillin	Bridged Compounds
cyclacillin	Heterocyclic Compounds
cyclacillin	Heterocyclic Compounds, 1-Ring
cyclacillin	Heterocyclic Compounds, 2-Ring
cyclacillin	Heterocyclic Compounds, Bridged-Ring
cyclacillin	Hydrocarbons
cyclacillin	Hydrocarbons, Cyclic
cyclacillin	Lactams
cyclacillin	Penicillins
cyclacillin	Polycyclic Compounds
cyclacillin	Sulfur Compounds
acipimox	Cardiovascular System
acipimox	Heterocyclic Compounds
acipimox	Heterocyclic Compounds, 1-Ring
acipimox	Hypolipidemic Agents
acipimox	Lipid Modifying Agents
acipimox	Lipid Modifying Agents, Plain
acipimox	Lipid Regulating Agents
acipimox	Nicotinic Acid and Derivatives
acipimox	Noxae
acipimox	Toxic Actions
curvularia inaequalis	Non-Standardized Fungal Allergenic Extract
mequinol	Antineoplastic Agents
mequinol	Antioxidants
mequinol	Benzene Derivatives
mequinol	Dermatologicals
mequinol	Ethers
mequinol	Hydrocarbons
mequinol	Hydrocarbons, Aromatic
mequinol	Hydrocarbons, Cyclic
mequinol	Lentigo
mequinol	Methyl Ethers
mequinol	Phenols
mequinol	Phenyl Ethers
mequinol	Protective Agents
mequinol	Specialty Uses of Chemicals
cefoperazone	Amides
cefoperazone	Anti-Bacterial Agents
cefoperazone	Anti-Infective Agents
cefoperazone	Antibacterials for Systemic Use
cefoperazone	Antiinfectives for Systemic Use
cefoperazone	Aza Compounds
cefoperazone	Azabicyclo Compounds
cefoperazone	beta-Lactams
cefoperazone	Bicyclo Compounds
cefoperazone	Bicyclo Compounds, Heterocyclic
cefoperazone	Bridged Compounds
cefoperazone	Cefamandole
cefoperazone	Cephalosporins
cefoperazone	Heterocyclic Compounds
cefoperazone	Heterocyclic Compounds, 1-Ring
cefoperazone	Heterocyclic Compounds, 2-Ring
cefoperazone	Heterocyclic Compounds, Bridged-Ring
cefoperazone	Hydrocarbons
cefoperazone	Hydrocarbons, Cyclic
cefoperazone	Lactams
cefoperazone	P-glycoprotein/ABCB1 Inhibitors
cefoperazone	Polycyclic Compounds
cefoperazone	Sulfur Compounds
cefoperazone	Thiazines
cefoperazone	Third-Generation Cephalosporins
tenoxicam	Analgesics
tenoxicam	Analgesics, Non-Narcotic
tenoxicam	Anti-Inflammatory Agents
tenoxicam	Anti-Inflammatory Agents, Non-Steroidal
tenoxicam	Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)
tenoxicam	Antiinflammatory and Antirheumatic Products
tenoxicam	Antiinflammatory and Antirheumatic Products, Non-Steroids
tenoxicam	Antirheumatic Agents
tenoxicam	Central Nervous System Agents
tenoxicam	COX Inhibitors
tenoxicam	COX-1 Inhibitors
tenoxicam	COX-2 Inhibitors
tenoxicam	Cyclooxygenase Inhibitors
tenoxicam	Enzyme Inhibitors
tenoxicam	Heterocyclic Compounds
tenoxicam	Heterocyclic Compounds, 1-Ring
tenoxicam	Musculo-Skeletal System
tenoxicam	Other Nonsteroidal Antiimflammatory Agents
tenoxicam	Oxicams
tenoxicam	Peripheral Nervous System Agents
tenoxicam	Sensory System Agents
tenoxicam	Sulfur Compounds
tenoxicam	Thiazines
desmopressin	Amino Acids, Peptides, and Proteins
desmopressin	Antidiuretic Agents
desmopressin	Arginine Vasopressin
desmopressin	Cardiovascular Agents
desmopressin	Coagulants
desmopressin	Factor VIII Activator
desmopressin	Hematologic Agents
desmopressin	Hemostatics
desmopressin	Hormones
desmopressin	Hormones, Hormone Substitutes, and Hormone Antagonists
desmopressin	Natriuretic Agents
desmopressin	Nerve Tissue Proteins
desmopressin	Neuropeptides
desmopressin	Oligopeptides
desmopressin	Peptide Hormones
desmopressin	Peptides
desmopressin	Pituitary
desmopressin	Pituitary and Hypothalamic Hormones and Analogues
desmopressin	Pituitary Hormones
desmopressin	Pituitary Hormones, Posterior
desmopressin	Posterior Pituitary Lobe Hormones
desmopressin	Proteins
desmopressin	Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins
desmopressin	Vasopressin Analog
desmopressin	Vasopressin and Analogues
desmopressin	Vasopressins
demecarium	Amines
demecarium	Ammonium Compounds
demecarium	Antiglaucoma Preparations and Miotics
demecarium	Cholinergic Agents
demecarium	Cholinesterase Inhibitors
demecarium	Enzyme Inhibitors
demecarium	Neurotransmitter Agents
demecarium	Nitrogen Compounds
demecarium	Onium Compounds
demecarium	Ophthalmologicals
demecarium	Parasympathomimetics
demecarium	Sensory Organs
celecoxib	Amides
celecoxib	Analgesics
celecoxib	Analgesics, Non-Narcotic
celecoxib	Anti-Inflammatory Agents
celecoxib	Anti-Inflammatory Agents, Non-Steroidal
celecoxib	Antiinflammatory and Antirheumatic Products
celecoxib	Antiinflammatory and Antirheumatic Products, Non-Steroids
celecoxib	Antineoplastic and Immunomodulating Agents
celecoxib	Antirheumatic Agents
celecoxib	Azoles
celecoxib	Central Nervous System Agents
celecoxib	COX Inhibitors
celecoxib	COX-2 Inhibitors
celecoxib	Cyclooxygenase Inhibitors
celecoxib	Cyclooxygenase-2 (COX-2) Inhibitors
celecoxib	Cytochrome P-450 CYP2C9 Substrates
celecoxib	Cytochrome P-450 CYP2D6 Inhibitors
celecoxib	Cytochrome P-450 CYP2D6 Inhibitors (moderate)
celecoxib	Cytochrome P-450 Enzyme Inhibitors
celecoxib	Enzyme Inhibitors
celecoxib	Genito Urinary System and Sex Hormones
celecoxib	Gynecological Antiinfectives and Antiseptics
celecoxib	Heterocyclic Compounds
celecoxib	Heterocyclic Compounds, 1-Ring
celecoxib	Methemoglobinemia Associated Agents
celecoxib	Musculo-Skeletal System
celecoxib	Peripheral Nervous System Agents
celecoxib	Pyrazoles
celecoxib	Selective Cyclooxygenase 2 Inhibitors (NSAIDs)
celecoxib	Sensory System Agents
celecoxib	Sulfonamides
celecoxib	Sulfones
